05,08,01,15,22,14,19,16,44,36,26,31,09,32,21,34,35,45,18,23,43,27,03,39,38,30,25,13,20,24,17,04,40,07,29,06,11,37,10,41,12,33,28,02,42
15,45,17,26,05,28,08,18,35,06,30,10,25,14,44,41,42,33,22,39,34,20,04,01,40,24,32,12,09,07,29,19,11,23,16,36,27,31,13,43,21,02,37,38,03
41,38,16,05,23,11,37,18,27,42,21,22,14,34,32,20,09,28,08,25,33,03,43,15,35,10,44,07,01,24,36,40,06,19,30,17,13,45,39,31,02,12,26,29,04
20,38,41,14,01,25,18,10,23,40,11,02,09,36,28,32,44,05,30,21,39,08,06,15,13,31,26,29,37,45,43,33,42,24,17,27,35,04,03,22,19,07,12,34,16
45,22,30,08,09,14,43,28,39,26,17,44,40,25,38,27,07,01,11,12,04,33,36,10,15,42,29,35,13,24,16,34,23,03,02,05,41,31,20,32,18,06,19,21,37
05,33,21,15,09,03,28,42,22,30,34,13,37,23,01,16,24,08,40,07,32,35,20,39,14,17,38,02,11,27,06,36,12,45,44,04,29,25,43,41,18,19,26,10,31
21,03,14,23,27,05,29,33,28,20,02,12,22,13,36,17,06,07,42,01,25,10,32,09,45,35,15,31,24,19,37,43,40,18,08,34,11,39,41,30,16,04,44,26,38
13,15,19,22,04,38,43,14,42,11,31,08,03,28,39,40,16,36,45,33,18,01,02,21,09,41,30,35,20,29,27,34,24,06,26,44,37,23,12,25,05,17,07,10,32
44,39,21,43,07,16,42,33,10,31,04,11,38,25,06,23,37,05,35,19,36,20,34,03,13,26,32,40,30,02,45,15,01,12,29,09,27,18,41,14,08,17,24,22,28
27,06,18,44,05,23,13,25,36,35,24,41,32,14,30,42,26,03,01,40,22,21,43,37,28,08,33,20,11,07,12,31,34,39,29,19,15,10,16,38,45,02,09,04,17
30,07,35,43,17,23,19,01,38,06,31,36,24,34,28,40,11,29,45,20,10,26,33,14,21,02,42,41,27,15,03,09,44,25,22,04,08,13,16,12,39,32,37,05,18
20,23,12,42,04,21,31,36,11,08,05,45,30,06,14,19,40,10,22,43,24,02,17,26,39,13,27,15,07,35,25,33,38,29,16,41,37,44,09,34,18,03,32,28,01
03,33,41,28,19,14,23,40,29,44,39,02,16,07,32,34,04,42,26,21,27,09,11,08,43,24,13,18,45,10,36,12,31,37,17,22,30,38,05,35,06,25,01,15,20
34,10,26,22,37,03,11,29,36,30,16,23,13,18,32,09,07,05,35,14,28,21,42,39,01,40,20,12,25,41,24,08,44,27,45,06,19,17,15,33,04,38,43,31,02
20,12,05,06,07,22,10,38,18,27,16,34,37,08,31,33,01,35,28,13,04,11,14,03,45,32,15,43,23,30,29,39,24,25,44,19,21,40,42,02,41,26,17,36,09
40,27,17,09,13,10,03,36,19,39,31,05,35,18,25,42,23,28,45,32,37,16,20,33,15,08,02,14,26,01,41,38,44,06,29,22,07,24,43,34,30,04,11,21,12
27,28,07,45,04,02,10,14,11,24,21,26,20,18,35,36,34,15,17,22,37,03,42,44,08,30,09,33,41,25,01,13,06,40,16,43,05,23,39,29,19,32,12,38,31
18,37,03,41,45,19,12,43,44,01,36,33,14,06,07,22,02,32,23,11,20,31,28,30,40,38,29,26,08,15,27,16,35,17,39,10,21,42,24,05,04,09,25,13,34
08,45,16,32,06,37,27,19,40,07,26,35,05,04,33,11,12,31,44,22,41,17,29,03,39,01,10,25,34,42,38,20,15,28,21,23,36,30,18,02,14,24,13,09,43
21,08,16,42,14,31,41,23,03,40,13,28,24,38,12,11,29,01,33,10,06,17,22,43,20,39,44,36,27,04,45,32,18,15,19,02,34,35,25,07,09,26,05,37,30
23,38,24,20,40,30,43,33,18,44,05,08,02,45,07,26,15,25,34,32,36,09,14,39,22,17,21,11,37,29,41,27,19,01,35,16,42,06,28,04,10,03,31,13,12
15,07,08,37,21,28,09,34,43,18,16,03,30,44,45,10,40,32,20,13,19,29,35,12,22,01,33,26,17,23,11,42,04,41,36,25,24,27,05,02,31,39,38,14,06
29,32,03,34,44,23,02,21,28,41,22,40,12,05,09,20,39,43,31,11,19,45,04,08,26,25,27,37,30,01,38,36,17,33,35,07,10,13,14,16,18,42,06,24,15
12,21,01,17,03,18,24,29,22,04,45,37,19,44,39,34,36,07,41,32,43,35,40,28,23,25,11,09,16,31,14,20,08,15,27,30,42,26,10,38,06,02,33,05,13
14,45,20,24,21,22,42,07,13,09,15,01,19,36,02,04,31,25,10,28,26,16,18,33,41,39,03,30,12,06,43,38,32,37,17,35,11,40,44,05,34,23,27,29,08
34,06,01,29,35,41,21,12,45,16,15,10,43,02,17,05,08,36,37,25,27,24,40,30,22,23,11,03,38,09,20,28,04,44,18,39,26,33,19,13,07,32,42,31,14
38,43,35,19,45,18,36,27,32,21,13,34,12,26,05,23,03,10,33,44,37,14,25,29,06,22,07,16,20,41,15,39,17,11,40,04,30,28,01,08,24,02,31,09,42
45,33,26,34,44,27,20,11,06,03,17,29,01,38,09,02,08,13,35,41,10,24,19,37,32,18,07,23,42,43,21,25,36,14,12,40,05,28,04,39,15,16,30,31,22
25,18,41,24,28,43,21,06,29,36,32,13,30,08,17,44,01,04,31,23,39,26,42,16,37,14,40,03,34,38,02,10,33,09,22,27,35,20,45,12,07,05,11,15,19
01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
