1,2,6,30
1,3,5,7
1,4,14,36
1,8,9,15
1,10,12,21
1,11,19,38
1,13,17,33
1,16,18,44
1,20,23,39
1,24,32,35
1,25,26,45
1,37,40,43
2,3,4,13
2,5,8,11
2,7,16,21
2,9,12,19
2,10,15,42
2,14,25,37
2,17,24,40
2,18,22,26
2,20,28,36
2,27,33,41
2,29,31,45
3,6,11,14
3,8,17,22
3,9,20,37
3,10,19,26
3,12,29,38
3,15,16,28
3,18,25,40
3,21,23,41
3,24,27,45
3,30,35,43
4,5,9,10
4,6,8,26
4,7,11,45
4,12,16,24
4,15,18,29
4,17,19,32
4,20,34,35
4,21,27,43
4,22,33,38
4,25,30,44
5,6,16,40
5,12,13,20
5,14,24,43
5,15,17,27
5,18,19,34
5,21,22,36
5,23,31,42
5,28,33,45
6,7,17,41
6,9,28,31
6,10,23,38
6,13,25,32
6,19,20,33
6,21,29,44
6,22,34,39
7,8,18,42
7,9,22,24
7,10,29,33
7,12,26,31
7,13,27,38
7,14,32,39
7,15,36,44
8,10,24,39
8,12,23,34
8,13,29,37
8,14,21,28
8,16,19,27
8,20,31,43
9,11,13,39
9,14,23,45
9,16,34,41
9,17,29,42
9,26,36,43
10,11,16,17
10,14,18,35
10,20,30,40
10,25,27,31
10,34,44,45
11,12,25,41
11,15,31,35
11,18,23,30
11,22,32,43
11,26,27,42
12,14,40,42
13,14,30,31
13,15,19,43
13,16,42,45
13,26,28,41
15,21,26,32
15,22,30,37
16,31,38,39
19,21,35,37
19,22,41,44
19,24,31,36
21,25,34,38
22,23,27,28
24,25,28,29
28,35,38,42
31,32,33,34
32,36,40,41
33,36,39,42
35,39,40,44
39,41,43,45
