2,3,4,5,6,7
2,3,11,24,25,27
2,3,12,22,29,38
2,3,13,35,36,37
2,7,18,19,24,41
2,7,22,27,32,42
2,8,14,27,34,40
2,15,24,29,34,42
3,4,8,24,28,33
3,5,12,23,30,43
3,6,25,26,28,31
3,7,9,11,17,19
3,8,13,18,38,43
4,5,9,14,27,32
4,6,17,20,23,33
4,7,18,21,32,35
4,9,12,17,25,44
4,10,16,20,26,36
4,14,24,34,39,44
5,6,8,15,22,29
5,9,13,17,29,36
5,13,18,23,32,45
5,15,20,25,40,45
6,11,13,16,32,37
6,12,23,29,34,40
6,14,19,22,27,38
6,32,38,40,42,44
7,11,20,33,39,45
8,9,19,29,43,44
8,11,27,30,37,43
8,13,15,17,33,35
8,16,21,28,40,41
9,20,25,28,33,41
10,11,12,34,44,45
10,14,26,30,34,42
10,15,31,34,36,41
11,18,25,28,35,39
13,20,21,32,39,44
15,20,33,38,42,43
19,21,22,23,42,44
20,29,30,38,39,40
26,39,42,43,44,45
