1,2,3,4,5,6,7,8,11,12,16
1,2,3,4,5,34,38,39,42,43,44
1,2,3,4,6,24,25,26,27,29,31
1,2,3,4,12,13,14,23,24,34,45
1,2,3,5,7,22,23,25,27,44,45
1,2,3,8,14,15,23,27,28,35,40
1,2,5,8,9,12,15,19,22,29,44
1,2,6,18,22,26,30,31,34,38,42
1,2,7,9,14,18,19,24,30,35,42
1,2,13,14,15,16,24,25,26,35,36
1,2,13,18,20,23,32,37,39,42,44
1,3,5,7,9,11,13,15,17,19,21
1,3,5,7,9,22,30,32,38,40,42
1,3,5,8,10,15,24,27,29,34,45
1,3,6,11,14,16,22,30,35,38,43
1,3,9,12,15,17,23,29,37,42,43
1,3,18,25,28,32,35,38,39,42,45
1,4,5,10,18,24,30,32,35,38,44
1,4,7,10,16,20,23,29,33,36,42
1,4,8,14,17,20,24,27,33,34,43
1,4,9,12,17,20,25,28,33,36,41
1,4,9,13,17,29,30,33,34,38,42
1,5,6,12,16,17,23,28,34,39,40
1,5,11,14,18,24,27,31,37,40,43
1,6,7,13,20,26,31,33,38,39,45
1,7,8,14,20,25,27,32,39,40,45
1,7,12,17,18,22,23,24,35,40,45
1,8,9,13,16,17,21,25,29,37,45
1,9,10,11,22,23,31,32,33,34,45
1,9,14,17,22,25,27,30,33,35,40
1,16,17,18,19,20,21,22,43,44,45
1,16,20,24,28,32,34,36,38,40,42
1,31,33,35,37,39,40,41,42,43,44
2,3,4,5,10,15,20,25,30,35,40
2,3,4,8,9,10,11,33,40,41,42
2,3,4,14,18,19,20,30,31,32,33
2,3,6,7,10,11,15,19,23,27,31
2,3,6,8,14,20,22,26,28,34,45
2,3,6,10,29,33,36,37,40,43,44
2,3,7,8,13,27,32,35,37,42,43
2,3,7,13,17,21,25,39,40,43,44
2,3,8,13,14,19,25,27,30,36,41
2,3,8,13,18,24,25,28,33,38,43
2,3,9,10,16,17,23,25,32,39,45
2,3,9,13,16,20,26,27,30,37,44
2,3,14,15,16,28,29,30,42,43,44
2,3,14,19,20,21,25,26,37,42,43
2,4,5,7,8,10,13,36,39,41,44
2,4,5,16,19,21,22,30,33,35,36
2,4,6,8,10,12,14,15,41,43,45
2,4,6,13,16,23,25,27,35,37,39
2,4,6,15,17,19,25,28,30,36,38
2,4,7,9,11,13,20,22,24,43,45
2,4,7,9,23,25,26,28,30,31,33
2,4,9,16,20,21,23,28,35,40,42
2,4,11,13,18,20,25,27,33,34,40
2,5,7,14,19,24,31,33,36,38,45
2,5,9,12,13,20,23,24,28,31,39
2,5,10,13,18,21,26,29,34,37,42
2,5,12,15,18,25,28,31,34,41,44
2,6,9,12,13,19,23,30,37,40,41
2,6,10,14,18,22,24,26,27,35,43
2,6,19,20,23,26,27,39,40,43,44
2,7,10,12,17,20,22,27,30,32,37
2,7,10,15,20,21,23,26,28,34,39
2,8,15,22,24,30,31,37,38,44,45
2,10,11,12,18,19,20,26,27,28,36
2,10,12,21,23,25,33,34,36,38,44
2,11,15,19,22,26,28,30,32,39,43
2,23,24,26,27,30,33,34,36,37,40
3,4,5,6,27,28,37,38,39,40,41
3,4,5,7,9,14,19,24,29,34,39
3,4,6,7,10,13,14,16,17,20,45
3,4,7,8,11,24,25,28,31,32,45
3,4,7,8,20,21,22,25,34,35,39
3,4,7,10,11,14,26,29,30,33,37
3,4,8,20,25,32,36,37,41,42,44
3,4,10,11,15,22,28,29,35,36,42
3,4,10,16,17,23,24,30,35,41,42
3,5,6,8,14,17,25,28,31,39,42
3,5,7,12,16,20,24,29,33,35,37
3,5,10,12,14,27,29,31,38,40,42
3,6,8,10,19,21,23,26,35,37,39
3,6,8,11,32,34,37,39,40,42,45
3,6,9,12,19,22,25,28,35,38,41
3,6,10,13,19,22,29,32,39,41,45
3,7,10,17,24,31,34,38,39,41,45
3,8,12,15,16,24,28,32,40,41,44
3,9,13,15,19,25,26,29,32,36,42
3,11,14,17,23,25,28,34,36,37,45
4,5,6,7,8,9,15,26,27,28,29
4,5,6,12,17,18,25,26,29,37,38
4,5,9,10,11,15,16,27,32,33,38
4,5,10,21,22,26,27,28,33,44,45
4,6,7,9,10,13,29,31,32,33,35
4,7,11,15,18,22,29,34,38,40,45
4,8,12,17,21,25,30,34,38,40,43
4,8,15,19,23,26,30,34,38,41,45
5,6,7,12,13,14,19,20,21,27,28
5,6,7,13,14,15,22,34,42,43,44
5,6,11,15,19,24,28,32,37,41,45
5,6,12,17,23,24,30,31,37,43,44
5,7,8,9,10,11,28,30,32,34,36
5,7,10,12,19,21,24,26,29,38,43
5,7,11,13,19,25,27,31,33,39,44
5,8,9,11,19,21,29,32,40,42,43
5,9,12,17,19,23,26,33,36,40,43
5,9,13,22,26,29,30,33,37,39,41
5,10,15,22,26,27,31,34,38,39,43
5,11,12,18,19,25,32,36,37,43,44
6,7,8,9,10,19,20,41,42,43,44
6,7,8,17,18,19,28,29,30,40,41
6,8,10,20,22,24,34,36,37,38,39
6,11,12,13,14,17,18,19,24,25,30
6,17,19,25,27,29,33,35,37,41,43
7,8,14,20,21,24,29,30,36,37,43
8,9,10,13,24,25,26,37,38,41,42
8,13,19,21,24,26,27,32,37,40,45
8,21,22,23,24,25,26,27,28,29,30
9,10,18,21,22,29,30,35,41,42,43
9,11,16,18,26,28,30,32,40,42,44
9,14,15,20,31,32,36,37,38,42,43
10,11,12,13,14,15,33,34,35,36,37
10,11,20,21,22,32,33,39,42,43,44
11,12,13,17,24,28,29,40,41,42,45
11,13,15,17,19,36,37,38,39,40,42
11,14,15,16,18,19,20,22,23,24,27
12,13,17,18,22,32,37,38,42,43,45
12,14,15,16,18,34,37,38,40,41,43
17,22,23,28,29,30,33,34,35,36,41
19,20,26,27,28,33,34,35,40,41,42
