1,2,3,4,5,6,7,44
1,2,3,21,23,24,25,45
1,2,8,14,21,27,33,40
1,2,12,13,14,24,35,36
1,2,39,41,42,43,44,45
1,3,8,10,15,32,39,41
1,3,32,36,38,40,42,44
1,4,7,14,17,20,33,36
1,4,7,18,21,29,32,35
1,5,9,11,15,19,38,42
1,6,9,14,22,30,35,38
1,6,12,17,18,23,29,40
1,6,13,20,27,32,39,44
1,9,12,15,26,29,32,43
1,9,12,17,25,33,38,41
1,11,12,23,33,34,35,45
1,11,14,17,24,27,30,43
2,3,4,11,18,25,32,39
2,3,5,19,22,29,33,36
2,3,7,8,12,27,28,32
2,4,6,8,10,12,43,45
2,4,14,24,27,29,37,39
2,5,10,13,18,26,34,42
2,6,9,16,23,30,37,44
2,8,13,19,25,30,36,41
2,9,15,21,22,28,34,41
3,4,14,15,25,26,36,37
3,5,7,9,11,13,20,39
3,5,8,16,21,32,37,45
3,6,11,19,27,35,40,43
3,10,13,17,20,27,34,41
3,10,16,23,29,35,36,42
3,11,14,17,28,31,42,45
4,8,15,19,25,29,39,43
4,10,15,21,27,32,38,43
4,21,25,29,33,37,41,45
5,6,15,16,28,29,38,39
5,9,17,22,25,34,37,42
5,11,12,18,24,31,37,44
5,14,19,24,30,35,40,45
6,13,19,25,26,32,38,45
8,9,10,11,30,31,32,33
8,15,22,26,30,34,38,42
8,16,20,24,28,36,44,45
11,13,15,17,19,21,23,25
13,14,19,20,33,34,39,40
14,21,22,23,30,43,44,45
15,16,17,18,35,36,37,38
17,18,19,20,21,22,33,44
22,23,24,25,26,27,28,29
