1,2,3,6,26,27,28
1,2,11,14,24,27,37
1,3,5,6,8,10,11
1,5,9,11,15,19,21
1,6,9,12,26,29,37
1,6,10,18,26,30,38
1,6,11,12,17,23,28
1,6,11,14,19,30,35
1,6,11,32,37,39,44
1,6,19,20,26,39,45
1,10,11,20,23,33,45
1,11,18,21,28,32,42
2,3,8,13,25,30,41
2,4,6,38,40,43,45
2,5,16,19,33,40,45
2,6,7,13,18,29,40
2,7,13,21,24,27,38
2,7,14,28,31,42,45
2,8,10,18,31,39,43
2,9,12,16,22,28,35
2,9,15,21,22,29,34
2,14,18,22,26,27,43
3,4,5,14,15,25,36
3,6,8,27,35,40,43
3,7,11,30,34,40,44
3,9,20,31,34,37,44
3,10,13,16,27,38,44
3,10,17,23,24,31,43
3,11,12,13,25,34,35
3,12,17,22,29,41,43
3,15,16,19,32,35,40
4,5,7,9,26,27,29
4,5,21,22,23,24,25
4,6,9,20,22,25,38
4,6,18,25,30,35,44
4,7,11,14,24,35,42
4,7,11,17,30,39,43
4,7,12,20,39,41,44
4,7,15,24,26,32,43
4,8,16,29,37,39,45
4,8,22,25,35,36,39
4,9,14,15,16,37,38
4,16,23,24,30,37,44
4,20,21,25,29,33,45
5,8,11,15,24,34,40
5,8,19,25,30,31,42
5,12,23,33,36,40,43
5,13,14,21,22,34,42
5,16,17,22,28,39,42
5,18,24,29,31,34,37
6,7,8,9,12,13,17
6,13,20,22,27,29,34
6,17,22,34,39,44,45
7,12,15,28,31,32,44
7,13,14,21,32,33,40
7,13,23,32,36,39,42
7,17,27,28,29,30,31
8,10,12,13,14,16,33
9,10,31,32,33,38,43
9,20,23,26,34,40,45
10,13,16,18,23,29,42
11,13,15,17,23,25,33
11,22,32,33,42,43,44
12,19,25,31,35,38,45
13,18,25,26,32,38,45
14,22,24,30,32,34,36
14,31,33,34,35,37,39
15,19,20,23,25,27,31
16,17,18,19,20,30,40
16,20,22,24,27,28,32
18,20,21,38,40,42,43
30,34,35,38,39,40,41
