1,2,3,4,5,6,8,10,12
1,2,3,4,23,24,25,26,45
1,2,3,11,12,13,37,38,39
1,2,3,40,41,42,43,44,45
1,2,8,9,14,21,27,28,40
1,2,9,10,11,19,20,21,45
1,2,10,18,26,30,34,38,42
1,2,12,13,23,24,34,35,36
1,2,26,27,28,35,36,37,45
1,3,5,7,9,11,13,42,44
1,3,6,14,19,22,30,35,38
1,3,8,10,15,17,27,34,41
1,4,8,11,15,18,25,32,39
1,4,9,17,25,30,33,38,41
1,4,10,17,20,23,33,36,42
1,4,10,18,21,27,32,35,38
1,5,8,15,19,22,29,33,36
1,5,9,13,17,21,29,37,45
1,5,11,14,24,27,30,37,43
1,6,7,12,18,23,29,35,40
1,6,8,13,20,27,32,34,39
1,6,11,16,21,26,31,36,41
1,7,8,18,19,24,30,35,41
1,7,14,20,26,27,33,39,40
1,9,12,15,20,26,29,37,43
1,10,11,12,23,32,33,34,45
1,24,28,32,36,38,40,42,44
2,3,4,5,13,14,15,36,37
2,3,4,5,27,31,35,39,43
2,3,5,17,19,31,33,36,45
2,3,6,15,18,19,31,32,35
2,3,9,10,16,17,23,24,41
2,3,9,12,18,22,28,38,44
2,3,14,16,18,20,22,24,25
2,5,7,12,15,17,22,27,37
2,5,8,11,24,25,27,28,31
2,5,9,13,15,17,18,31,34
2,5,10,15,25,27,30,35,40
2,5,24,29,32,34,37,42,45
2,6,7,10,11,12,16,17,21
2,6,8,19,30,34,36,40,45
2,6,9,14,17,25,28,36,43
2,6,9,16,19,26,34,37,44
2,6,10,11,22,26,27,31,42
2,6,10,13,14,18,21,25,33
2,6,33,35,37,39,41,43,45
2,7,9,13,15,26,28,32,41
2,7,9,14,23,28,33,38,42
2,8,10,12,18,20,35,43,45
2,8,10,16,18,24,26,32,39
2,8,13,15,16,27,30,34,44
2,11,14,16,28,30,42,44,45
2,15,19,22,26,30,36,39,43
2,18,20,21,23,26,39,42,44
3,4,5,6,25,27,28,29,30
3,4,6,7,10,11,14,18,45
3,4,7,10,26,29,30,33,36
3,4,8,9,14,19,24,29,34
3,4,11,19,20,25,27,35,41
3,5,7,8,9,16,24,32,40
3,5,7,19,21,34,35,36,38
3,5,8,21,24,26,27,29,45
3,5,10,17,23,30,35,42,43
3,5,11,16,18,24,29,35,37
3,6,8,11,16,19,21,38,43
3,6,10,13,25,29,32,36,43
3,7,11,15,19,23,27,36,44
3,8,9,13,23,28,29,33,43
3,8,13,18,19,26,31,36,41
3,8,14,15,22,25,29,31,42
3,9,16,17,22,25,29,33,35
3,10,12,19,21,28,30,37,39
3,10,13,17,20,27,30,38,45
3,10,14,21,27,31,38,42,44
3,11,13,21,23,31,33,38,41
3,11,14,15,22,26,34,37,44
3,12,20,26,28,34,36,40,42
4,5,6,14,15,16,40,41,42
4,5,7,8,21,24,36,37,39
4,5,11,12,18,19,25,26,40
4,5,12,15,16,27,29,38,43
4,5,12,17,20,24,31,33,43
4,6,7,9,21,23,34,35,37
4,6,9,11,24,26,28,29,31
4,6,13,18,30,32,35,37,44
4,7,10,15,18,21,33,41,44
4,8,11,12,15,16,19,23,31
4,9,14,15,20,27,32,37,42
4,9,14,26,31,36,39,41,44
4,12,14,20,22,28,30,36,38
4,14,18,21,25,28,35,42,45
4,19,21,27,29,31,37,39,41
5,6,7,12,13,14,19,20,26
5,6,7,21,22,27,28,43,44
5,6,9,17,20,28,31,39,42
5,6,10,22,23,26,34,38,39
5,6,15,16,25,26,35,36,37
5,8,14,19,25,30,33,39,44
5,8,16,19,27,30,38,41,42
5,9,13,22,24,26,30,37,41
5,9,14,19,24,33,38,40,45
5,10,14,19,23,28,32,37,41
5,11,15,20,21,30,31,40,41
5,11,17,23,28,34,39,40,45
6,7,8,16,17,18,42,43,44
6,7,16,17,26,27,28,37,38
6,8,10,11,13,28,30,31,33
6,8,10,12,16,25,27,29,31
6,9,11,13,23,25,27,37,39
6,9,11,19,22,30,32,43,45
6,9,12,15,25,28,31,34,41
6,9,12,20,23,30,33,41,44
6,10,15,19,24,28,33,37,42
6,11,16,21,24,29,34,39,44
6,23,24,30,31,37,38,44,45
7,8,12,16,28,32,36,37,41
7,11,13,17,22,24,28,41,45
7,11,19,20,31,32,33,44,45
7,13,19,20,29,35,36,41,42
7,14,20,21,30,36,37,43,44
7,15,16,21,23,29,31,37,45
7,15,23,31,38,39,40,42,44
7,16,17,18,24,35,38,39,40
7,18,19,25,26,32,38,39,45
8,9,10,11,12,38,40,41,43
8,9,10,17,18,19,27,28,29
8,9,14,15,30,31,36,37,38
8,10,20,22,24,34,36,38,41
9,10,11,16,17,32,33,38,39
9,14,16,21,28,29,34,36,41
10,12,18,23,29,31,36,42,44
11,13,14,16,35,36,37,38,40
12,13,14,15,16,17,23,34,45
12,13,16,28,29,31,41,44,45
12,16,19,23,26,35,38,42,45
12,17,22,26,27,31,32,36,41
13,16,17,19,20,21,22,23,26
16,18,20,22,31,35,37,39,41
16,24,28,31,32,35,36,39,43
18,22,23,24,27,28,29,32,33
20,21,22,23,35,41,43,44,45
21,27,28,33,34,35,40,41,42
23,24,25,32,33,34,42,43,44
